tagname,is_genre
beats,0
focus,0
fun,0
long,0
loud,0
party,0
relaxing,0
smart,0
high bpm,0
high pitch,0
childhood,0
low bpm,0
low pitch,0
ring tone,0
sad,0
acoustic,0
pop&rock,1
rock,1
metal,1
hardcore punk,1
punk,1
alternative,1
rock&roll,1
golden age,1
contemporary,1
heavy music,1
industrial,1
pop,1
country,1
rhythm music,1
rhythm&blues,1
blue note,1
gospel,1
blues,1
jazz,1
jamaican,1
rap,1
electronic music,1
EDM,1
breakbeat dance,1
four-to-the-floor dance,1
breakbeat,1
drum&bass,1
hardcore techno,1
techno,1
house,1
trance,1
downtempo,1
classical,1
classical jazz,1
